date,title,processed_description,category,url,document,topic,gamma,topic_name
"Publish : 26 May 2025, 17:36",'Army remains uncompromising on national sovereignty',bangladesh armi remain uncompromis question countri sovereignti brigadi md nazim ud daula director director militari oper armi headquart mondai corridor relat issu highli sensit armi nation compromis countri independ secur sovereignti brief organis armi headquart dhaka canton unb report respond question corridor issu brig gen nazim border situat myanmar sensit armi maintain level alert mention 30 000 uniform reportedli kuki chin nation front knf chattogram knf repres kuki commun popul 12 000 30 000 uniform produc truth involv armi take matter investig refer push in citizen border countri india brig gen nazim action accept desir border guard bangladesh bgb tackl matter effect direct govern armi interven situat highli undesir ad early colonel md shafiqul islam colonel staff director militari oper outlin armi activ past 40 dai strict measur mob violenc disrupt social secur shafiqul islam observ compar past law situat remain stabl improv maintain law armi sole respons requir coordin effort law enforc agenc relev institut bring improv,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12062/army-remains-uncompromising-on-national,1,7,0.653108868015455,Education
"Publish : 26 May 2025, 15:26","CA, Japanese PM to hold budget-focused talks on May 30",chief advis professor muhammad yunu japanes prime minist shigeru ishiba hold bilater talk tokyo japan 30 discuss strateg bilater issu strengthen relat front bilater talk tokyo roll red carpet chief advis amid guard honour unb report act foreign secretari md ruhul alam siddiqu brief report ministri foreign affair mondai afternoon note chief advis pai offici visit 28 31 main focu visit budgetari support siddiqu respond question ad strateg bilater issu discuss total mou sign offici visit chief advis bangladesh seek 1 billion japan budgetari support form soft loan announc formal bilater talk exchang note sign act foreign secretari prof yunu leav dhaka japan 27 tuesdai night chief advis attend nikkei 30th futur asia event deliv keynot speech plenari session director east asia pacif wing moham nore alam director public diplomaci wing shah asif rahman speak brief februari japanes parliamentari vice minist foreign affair ikuina akiko invit chief advis prof yunu visit japan nikkei 30th futur asia event hold 29 30 tokyo prof yunu recipi nikkei asia prize 2004 plan free indo pacif initi japan sustain develop region japan strengthen engag bangladesh bai bengal initi countri aim support qualiti infrastructur develop project encourag japanes manufactur product compani expand industri chain bangladesh plan free indo pacif initi japan sustain develop region bangladesh embassi tokyo polit econom sector cooper issu trade invest peopl peopl connect cultur exchang forcibli displac myanmar nation rohingya secur cooper region global issu discuss visit diplomat sourc tell unb countri strengthen bilater relationship wide ring includ secur economi econom cooper peopl peopl cultur exchang japan bangladesh strateg partnership,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12061/ca-japanese-pm-to-hold-budget-focused-talks-on,2,8,0.6585418709640382,Weather
"Publish : 26 May 2025, 13:41",NBR resumes operations after nearly 2 weeks’ disruption,nation board revenu nbr resum normal oper countri mondai employe return govern assur meet demand week disrupt 14 return govern assur hope fine offici wish anonym unb report demand repeal ordin dissolv nbr remov chairman public revenu reform advisori committe recommend nbr websit ensur sustain revenu system reform review discuss relev stakehold nbr reform uniti council start pen 14 suspend 19 govern propos dialogu initi direct chief advis start scale abstent saturdai press home demand 21 meet hold confer financ divis 13 deleg nbr reform uniti council advis dr salehuddin ahm presenc advis nbr reform uniti council term meet financ advis unsuccess revenu reform advisori committe nation board revenu nbr secretari financ ministri chairman nation board revenu meet nbr reform uniti council wednesdai announc seri programm includ ongo cooper nbr chairman press home demand sit programm hold nbr offic dhaka thursdai sundai night financ ministri press releas nation board revenu nbr elev statu independ specialis depart govern issu clarif elimin ambigu posit revenu polici administr reform ordin 2025 structur separ revenu polici implement safeguard bc custom excis bc taxat cadr finalis discuss nbr revenu reform advisori committe kei stakehold process focu strengthen nbr establish specialis institut revenu polici mention amend ordin juli 31 2025 ensur proper separ revenu polici formul revenu administr importantli ordin enforc amend complet assur agit nbr reform uniti council call programm start daili routin mondai visit revenu build agargaon offici employe engag duti express hope interim govern leadership nobel laureat professor muhammad yunu step fulfil legitim demand,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12059/nbr-resumes-operations-after-nearly-2-weeks%E2%80%99,3,10,0.9990765814184652,International
"Publish : 26 May 2025, 11:07",Rains likely in parts of country as monsoon approaches,bangladesh meteorolog depart predict light moder rain countri 24 hour commenc 9am mondai light moder rain thunder shower lightn flash temporari gusti wind rangpur rajshahi mymensingh sylhet divis dhaka khulna barish chattogram divis moder heavi fall rangpur rajshahi mymensingh sylhet divis meet offic bulletin unb report southwest monsoon advanc chattogram divis condit favour advanc low pressur form north bai bengal adjoin 27 dai temperatur remain unchang night temperatur fall slightli countri,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12056/rains-likely-in-parts-of-country-as-monsoon,4,7,0.996879049664303,Education
"Publish : 25 May 2025, 21:09",NBR Reform Unity Council withdraws strike upon govt’s assurance,nbr reform uniti council sundai withdraw previous announc fledg strike welcom govern announc amend revenu polici administr reform ordin 2025 juli 31 announc clarif financ ministri start nbr dissolv strengthen independ special depart ministri financ unb report special institut form revenu polici formul exist ordin implement amend council statement issu sundai night govern commit sustain revenu reform discuss nbr revenu reform advisori committe kei stakehold mark begin bangladesh journei establish internation benchmark independ empow revenu agenc statement read council declar govern prove legitimaci stand demand programm note demand remov current nbr chairman remain unmet hope govern posit decis favor demand previous announc cooper movement current nbr chairman continu declar statement council support confid sustain peopl orient revenu system build countri ad council recal early commit nation promis demand fulfil offic hour backlog line commit announc addit regular offic hour begin statement,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12052/nbr-reform-unity-council-withdraws-strike-upon,5,10,0.9984368144852863,International
"Publish : 25 May 2025, 18:11",Storms brewing across the country,rain thundershow occur dhaka 17 district 6 pm sundai 25 bulletin issu bangladesh meteorolog depart rain start region includ faridpur barguna light shower report dhaka weather bulletin 10 30 6 pm district experi rain thundershow accompani gusti squalli wind manikganj munshiganj dhaka gazipur tangail gopalganj kushtia rajbari pabna faridpur jashor magura jhenaidah chuadanga sylhet cumilla chandpur wind speed reach 45 60 kilomet hour thunderstorm accompani rain meteorologist kazi zebunnesa meteorolog depart rain start barguna baris divis faridpur chattogram dhaka manikganj district rainfal ad possibl rain capit possibli 3 pm amount rainfal expect light,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12050/storms-brewing-across-the-country,6,7,0.996879049664303,Education
"Publish : 25 May 2025, 14:27",NBR staff’s full-fledged strike enters 2nd day,fledg nationwid strike enforc offic employe nation board revenu nbr press home 4 dai enter 2nd dai sundai strike start offic incom tax custom vat offic 9 continu till 5 pm keep custom hous lc station purview unb report offici banner nbr reform uniti council threaten continu protest demand meet demand repeal ordin dissolv nbr remov chairman public revenu reform advisori committe recommend nbr websit ensur sustain revenu system reform review discuss relev stakehold nbr reform uniti council initi strike april 29 respons interim govern propos restructur nbr initi protest hundr offici tax zone dhaka particip demonstr nbr headquart meet nbr chairman abdur rahman khan express concern urg revis propos ordin govern proceed reform offici dissolv nbr establish separ entiti revenu polici divis rpd revenu manag divis rmd 13 2025 action intensifi unrest revenu offici view move undermin role integr tax administr system start pen strike 14 suspend 19 wednesdai announc seri programm includ ongo cooper nbr chairman press home demand,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12048/nbr-staff%E2%80%99s-full-fledged-strike-enters-2nd-day,7,10,0.9985650906436171,International
"Publish : 25 May 2025, 13:21",Govt employees continue strike at Secretariat,govern employe continu protest consecut dai sundai secretariat demand withdraw draft govern servic amend ordin 2025 disrupt offici activ organis banner bangladesh secretariat offic employe unit council protest morn 12 40pm unb report employe depart refrain gather secretariat premis voic opposit ordin signific offici staff demonstr dai protestor move main gate secretariat hold protest ralli 11 30am entri exit vehicl gate complet block hamper normal oper draft ordin receiv nod advisori council 22 prompt employe strike protest demonstr respons govern assign advis review draft protestor strongli condemn ordin label repress draconian demand cancel argu propos amend curtail employe right increas govern control civil servant,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12047/govt-employees-continue-strike-at-secretariat,8,7,0.5131982657063521,Education
"Publish : 25 May 2025, 10:20",Railway begins advance ticket sales for Eid-ul-Azha,bangladesh railwai sundai morn start sell advanc train ticket june 4 journei ahead eid ul azha eas process passeng 100 percent ticket regular interc train sell onlin sale station counter unb report onlin base ticket sale western region 8am eastern region start 2pm ten special train oper rout run june 4 6 june 9 14 train run eid dai unlik regular servic ticket special train station counter onlin total 43 interc train oper countri eid offer 33 315 seat 25 percent train capac alloc stand ticket sell station counter railwai eid schedul ticket 31 sale 21 june 2 ticket 23 june 3 ticket 24 ticket june 5 6 sale 26 27 passeng seat singl transact ticket buy advanc refund 6 council advis approv 10 dai vacat occas eid ul azha begin june 5,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12042/railway-begins-advance-ticket-sales-for,9,4,0.9979869041900837,Economy
"Publish : 24 May 2025, 23:28",BTRC caps SIM limit to 10 per person,bangladesh telecommun regulatori commiss btrc decis sim card person regist saturdai 24 btrc sourc confirm decis btrc light intern practice nation secur concern maximum sim person regist reduc 15 10 socio econom context bangladesh consider btrc state limit 10 person sim enforc approxim 6 7 million sim belong 2 6 million user deactiv btrc offici explain previous individu regist 15 sim card decis cap 10 worth note octob 2017 maximum sim limit nation id set 15 octob 2022 btrc issu notic urg user 15 sim retain prefer deregist rest btrc conduct lotteri deactiv excess sim limit,bangladesh,https://en.ittefaq.com.bd//en.ittefaq.com.bd/12041/btrc-caps-sim-limit-to-10-per-person,10,5,0.5707698515524336,Crime
