date,title,description,category,url,clean_description
"Publish : 16 May 2025, 17:37",BNP demands clear roadmap to polls,"Though the BNP has been consistently calling for a national election along with swift reforms, party leaders now fear that their December election deadline may quietly slip away, as the interim government appears to be dragging its feet and showing no sign of preparing for the polls. Some senior BNP leaders said nine months after the interim government's formation, its lack of focus on elections and controversial moves—such as allowing human corridors to Rakhine and outsourcing port operations—have raised doubts about its true intentions, UNB reports. In such a situation, they said the party rank and file is mounting pressure to take to the streets to force the government to announce a clear election roadmap and hold the election within this year. A BNP leader, wishing to remain anonymous, said the party fears that the ban on activities of the Awami League, growing conflicts among the National Citizen Party (NCP) and Jamaat-e-Islami, increasing unnecessary street protests, and a slide in the law and order situation may complicate the political scenario in the country in the days to come. He said they are also concerned about the new political polarisation and its impact on the national election following the ban on the Awami League’s activities until the completion of its trial and that of its leaders. The BNP leader said they suspect that the ban on the Awami League’s activities and the suspension of the party’s registration with the Election Commission may be part of a ploy by local and international actors to prolong the power of the interim government. He said their last standing committee meeting discussed the issues of election and reforms, and most members voiced frustration over the lack of visible progress toward holding the election. The BNP leader said they also discussed the growing pressure from grassroots leaders and activists to launch a movement demanding the government hold the election by December this year. Three BNP Standing Committee members have recently expressed both concern and anger over the delay in the election. On 12 May, senior BNP leader Mirza Abbas alleged that many dubious foreigners are arriving in Bangladesh, accusing the interim government of serving the interests of others rather than the people of the country. He also accused the government of orchestrating various incidents to divert public attention from its misdeeds. Abbas also alleged that a deliberate effort is underway to eliminate their party, claiming that pro-BNP officials are being replaced by those loyal to the Awami League or Jamaat-e-Islami in the administration and other key government offices. A day earlier, BNP Standing Committee member Salahuddin Ahmed said that their party had on various occasions demanded that the Awami League, as a party, be brought under trial, but the government had not paid any heed. “Had the Chief Adviser taken the matter into consideration at that time, it would not have led to the embarrassing situation of the last two days (demonstration at Shahbagh),” he added. Claiming that people across the country are eager to vote in the next parliamentary elections, the BNP leader said, “For that, we have called upon the Chief Adviser to announce a roadmap for the next election soon. Otherwise, such an embarrassing situation may arise again.” On 13 May, BNP Standing Committee Member Amir Khosru Mahmud Chowdhury said their party had already made it clear that they are ready to implement any reform proposals agreed upon through political consensus. “So, why is the delay? Why cannot we know where the consensus stands? We have all submitted our proposals. We are waiting to see where the consensus is. But we still cannot know where it lies. Why the hesitation in stating that?” he said. “You cannot hold the people hostage and then talk about reforms solely to serve the interests of a select few. There is no longer any scope in Bangladesh to impose anything by force while excluding the people. That time is over,” he said. The BNP leader lamented that those who once hid in fear of Sheikh Hasina are now lecturing others on reforms. “Every now and then, new issues are brought forward, reforms are dragged out, and the overall situation is kept in a state of flux. It appears to be part of a larger conspiracy to defer elections indefinitely,” a member of the BNP Standing Committee told UNB on condition of anonymity. He said their party is now holding youth rallies in all divisions to drum up support and encourage the new generation to become involved in BNP politics. “Our youth rally will be held on 28 May with a massive showdown in Dhaka. From that rally, the BNP will send out a strong message to the government not to unnecessarily delay the election,” the BNP leader said. Contacted, BNP Standing Committee Member Gayeshwar Chandra Roy said they are observing a move to delay the election on various pretexts, including the reform process. “Delaying the elections could create further instability and give the Awami League time to reorganise and create chaos in the country. If elections are delayed, the situation may spiral out of control,” he warned. The BNP leader said although the interim government’s role should be to restore the people’s mandate, it seems to lack genuine interest in doing so. He urged the government to come up with a clear electoral roadmap as soon as possible. “The people—especially the youth—want to vote. A fair BNP-Election to be held, and the reforms must be completed quickly.”",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11939/bnp-demands-clear-roadmap-to-polls,though bap consistently call national election along swift reform party leader now fear December election deadline may quietly slip away interim government appear drag foot show sign prepare poll senior bap leader say nine month interim government formation lack focus election controversial nonesuch allow human corridor rapine outsource port nonoperative raise doubt true intention nub report situation say party rank file mount pressure take street force government announce clear election road map hold election within year bap leader wish remain anonymous say party fear ban activity swami league grow conflict among national citizen party nip jamaateislami increase unnecessary street protest slide law order situation may complicate political scenario country day come say also concern new political polarization impact national election follow ban swami league activity completion trial leader bap leader say suspect ban swami league activity suspension party registration election commission may part ploy local international actor prolong power interim government say last stand committee meet discuss issue election reform member voice frustration lack visible progress toward hold election bap leader say also discuss grow pressure grassroots leader activist launch movement demand government hold election December year three bap stand committee member recently e tongue stick dress concern anger delay election may senior bap leader mirage abbey allege many dubious foreigner arrive Bangladesh accuse interim government serve interest other rather people country also accuse government orchestrate various incident divert public attention misdeed abbey also allege deliberate effort underway eliminate party claim probe official replace loyal swami league jamaateislami administration key government office day early bap stand committee member thud Ahmed say party various occasion demand swami league party bring trial government pay heed ache chief adviser take matter consideration time lead embarrass situation last two day demonstration shanghai add claim people across country eager vote next parliamentary election bap leader say force call upon chief adviser announce road map next election soon otherwise embarrass situation may arise gain may bap stand committee member air workhouse maraud chowder say party already make clear ready implement reform proposal agree upon political consensus echo delay know consensus stand submit proposal wait see consensus still know lie hesitation state hate say you're hold people hostage talk reform solely serve interest select long scope Bangladesh impose anything force exclude people time cover say bap leader lament hide fear sheikh aphasia now lecture other reform every now new issue bring forward reform drag overall situation keep state flux appear part large conspiracy defer election indefinitely ed member bap stand committee tell nub condition anonymity say party now hold youth rally division drum support encourage new generation become involve bap politic scour youth rally will hold may massive showdown Dhaka rally bap will send strong message government unnecessarily delay election ed bap leader say contact bap stand committee member freshwater Chandra Roy say observe move delay election various pretext include reform process underplay election create instability give swami league time reorganize create chaos country election delay situation may spiral control warn bap leader say although interim government role restore people mandate seem lack genuine interest urge government come clear electoral road map soon possible hectic overspecialization youthfulness vote fair selection hold reform must complete quickly ed
"Publish : 13 May 2025, 20:38",Delhi concerned over ban on AL; supports early polls,"India on Tuesday expressed concerns over the ban imposed by the interim government on the activities of Bangladesh Awami League. ""The ban on the Awami League without due process is a concerning development,"" said Spokesperson at the Ministry of External Affairs Randhir Jaiswal during a regular media briefing in New Delhi, UNB reports. As a democracy, he said, India is naturally concerned at the ""curtailment of democratic freedoms and shrinking political space."" ""We strongly support the early holding of free, fair and inclusive elections in Bangladesh,"" said the MEA spokesperson. The government has issued a gazette notification banning all activities of the Bangladesh Awami League and its affiliated organisations under the Anti-Terrorism Act until the International Crimes Tribunal (ICT) completes the trial of the party’s leaders and activists.",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11902/delhi-concerned-over-ban-on-al-supports-early,India Tuesday e tongue stick dress concern ban impose interim government activity Bangladesh swami league ban swami league without due process concern development say spokesperson ministry external affair brandish jaywalk regular medium brief new Delhi nub report democracy say India naturally concern curtailment democratic freedom shrink political space strongly support early hold free fair inclusive election Bangladesh say mes spokesperson government issue gazette notification ban activity Bangladesh swami league affiliate organization anti terrorism act international crime tribunal cit complete trial party leader activist
"Publish : 12 May 2025, 23:29",EC suspends AL's registration,"The Election Commission (EC), on Monday, suspended the registration of Bangladesh Awami League (AL). EC Senior Secretary Akhtar Ahmed confirmed it to the reporters after a meeting of the EC. ""The decision was taken in continuation of the notification issued by the Home Ministry,"" he said. A gazette notification issued today in this regard. The EC Secretary said, ""The Ministry of Home Affairs has banned the activities of Awami League and all its front, associate and brotherly organizations. In continuation of this, the Election Commission has decided to suspend the registration of Awami League"". The Home Ministry published a gazette today banning all activities of the party. The meeting of the commission was held around 5.30 pm with Chief Election Commissioner AMM Nasir Uddin in the chair.",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11890/ec-suspends-al-s-registration,election commission EC Monday suspend registration Bangladesh swami league AL EC senior secretary partaker Ahmed confirm reporter meet EC decision take continuation notification issue home ministry say gazette notification issue today regard EC secretary say ministry home affair ban activity swami league front associate brotherly organization continuation election commission decide suspend registration swami league home ministry publish gazette today ban activity party meet commission hold around pm chief election commissioner mam nadir undo chair
"Publish : 12 May 2025, 17:25","AL banned, gazette issued","The government has issued an official gazette notification banning all activities of the Awami League. The notification was published on Monday (May 12), confirmed by Home Adviser Lt Gen (retd.) Md. Jahangir Alam Chowdhury. The gazette, signed by Senior Secretary Nasimul Gani, states that since forming the government on January 6, 2009, until its ousting amid a mass student-public uprising on August 5, 2024, the Bangladesh Awami League, along with all its affiliated, associated, and fraternal organizations, established a reign of terror across the country. This included attacks, abductions, murders, killings, torture, and rape against opposition political party members and dissenting voices. The notification further details that during the student-public movement from July 15 to August 5, 2024, the Awami League and its wings were accused of enforced disappearances, murders, burning people alive, genocide, illegal detentions, inhumane torture, looting, arson, terrorist activities, and crimes against humanity. These allegations have been substantiated in both national and international reports. Numerous cases are currently pending against leaders and activists of the Awami League and its affiliates in the International Crimes Tribunal and the country's criminal courts. According to the gazette, since August 5, 2024, the Awami League and its associated organizations have been involved in attacks against student-public demonstrators, organizing provocative rallies, distributing anti-state leaflets, and engaging in criminal speeches on social media by their exiled leader and other members. These activities also included attempts to damage personal and state property, posing a threat to national sovereignty and security, creating fear among plaintiffs and witnesses of ongoing cases, disrupting justice, and significantly deteriorating the country's law and order situation. The notification mentions that the government possesses sufficient evidence that the Awami League and its affiliated organizations are involved in various illegal activities and conspiracies similar to terrorist organizations, aiming to destabilize the state and instill fear among the public. Therefore, the government justifiably believes that under the powers vested in Section 18(1) of the Anti-Terrorism (Amendment) Ordinance 2025 and the Anti-Terrorism Act 2009, it is appropriate to declare a ban on all activities of the Awami League and its affiliates until the completion of the trials against its leaders and activists in the International Crimes Tribunal. The gazette also declares that until the completion of the trials in the International Crimes Tribunal, all forms of publication, media coverage, online and social media promotion, rallies, meetings, conferences, or any activities organized by the Awami League and its affiliates are strictly prohibited. As per the President's order, this decision is to be implemented with immediate effect.",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11885/al-banned-gazette-issued,government issue official gazette notification ban activity swami league notification publish Monday may confirm home adviser Lt gen red MD Jahangir lama chowder gazette sign senior secretary simulcast gain state since form government January oust amid mass student public uprising august Bangladesh swami league along affiliate associate fraternal organization establish reign terror across country include attack abduction murder killing torture rape opposition political party member dissent voice notification detail student public movement July august swami league wing accuse enforce disappearance murder burn people alive genocide illegal detention inhumane torture loot arson terrorist activity crime humanity allegation substantiate national international report numerous case currently pend leader activist swami league affiliate international crime tribunal country criminal court accord gazette since august swami league associate organization involve attack student public demonstrator organize provocative rally distribute anti state leaflet engage criminal speech social medium exile leader member activity also include attempt damage personal state property pose threat national sovereignty security create fear among plaintiff witness ongoing case disrupt justice significantly deteriorate country law order situation notification mention government possess sufficient evidence swami league affiliate organization involve various illegal activity conspiracy similar terrorist organization aim destabilize state instill fear among public therefore government justifiably believe power vest section anti terrorism amendment ordinance anti terrorism act appropriate declare ban activity swami league affiliate completion trial leader activist international crime tribunal gazette also declare completion trial international crime tribunal form publication medium coverage online social medium promotion rally meeting conference activity organize swami league affiliate strictly prohibit per president order decision implement immediate effect
"Publish : 12 May 2025, 14:46",EC awaits official gazette on AL: CEC,"Chief Election Commissioner AMM Nasir Uddin on Monday said the Election Commission will decide on Awami League’s (AL) registration only after receiving the official gazette notification. “We are waiting for the gazette notification to come. Once the sun rises in the sky, everything will be clear. Wait for that,” he told reporters in the city, UNB reports. The CEC made the remarks replying to a question after a meeting with a delegation from the Carter Center at Nirbachan Bhaban in the capital. Asked whether Awami League’s registration will be cancelled once the gazette is issued, the CEC replied, “You can’t make decisions based on media reports. Once the gazette is issued, we will sit and decide. Let the notification come.” According to the Representation of the People Order (RPO), if a political party is banned, its registration with the Election Commission is automatically subject to cancellation. In the face of demands by the student leaders of the 2024 mass uprising  and several political parties including the National Citizen Party-NCP and Jamaat-e-Islami, the interim government has decided to ban Awami League's activities. The Council of Advisers, in a special meeting on Saturday night, decided to ban all activities of the Awami League, including in cyberspace, under the Anti-Terrorism Act until the trial of Bangladesh Awami League and its leaders in the International Crimes Tribunal is completed. On Sunday, the Council of Advisers approved the draft of the Anti-Terrorism (Amendment) Ordinance, 2025, incorporating provision to ban individuals or entities involved in terrorist activities and their operations. The Anti-Terrorism Act, 2009 was enacted to deter some terrorist activities and ensure effective punishment along with relevant provisions. The amendment incorporates provisions for banning the activities of entities, necessary adaptations, and prohibiting the dissemination of content through online and social media platforms.",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11882/ec-awaits-official-gazette-on-al-cec,chief election commissioner mam nadir undo Monday say election commission will decide swami league AL registration receive official gazette notification ewe wait gazette notification come sun rise sky everything will clear wait hate tell reporter city nub report cc make remark reply question meet delegation carter center bacchanalia hatband capital ask whether swami league registration will cancel gazette issue cc reply you're caner make decision base medium report gazette issue will sit decide let notification comped accord representation people order pro political party ban registration election commission automatically subject cancellation face demand student leader mass uprising ca several political party include national citizen party jamaateislami interim government decide ban swami league activity council adviser special meet Saturday night decide ban activity swami league include cyberspace anti terrorism act trial Bangladesh swami league leader international crime tribunal complete Sunday council adviser approve draft anti terrorism amendment ordinance incorporate provision ban individual entity involve terrorist activity operation anti terrorism act enact deter terrorist activity ensure effective punishment along relevant provision amendment incorporate provision ban activity entity necessary adaptation prohibit dissemination content online social medium platform
"Publish : 10 May 2025, 23:32",Govt bans all activities of AL,"All activities of the ousted Awami League (AL) have been declared banned following the July-August mass uprising. At a press conference on Saturday night, Law Advisor Asif Nazrul shared the information with journalists after an emergency meeting of the Advisory Council led by Chief Advisor Dr. Muhammad Yunus. In a statement after the meeting, the Advisory Council announced that an amendment to the International Crimes Tribunal Act was approved during today's session. According to the amendment, the International Crimes Tribunal can now punish any political party, its affiliated organizations, or support groups. The statement also mentioned that until the trials of Bangladesh Awami League and its leaders are concluded at the International Crimes Tribunal, a decision has been made to ban all activities of the Awami League—including its presence in cyberspace—under the Anti-Terrorism Act. This is aimed at protecting national security and sovereignty, ensuring the safety of July Movement activists, and safeguarding the plaintiffs and witnesses of the International Crimes Tribunal. A necessary circular regarding this matter will be issued on the next working day. Additionally, the meeting also decided to finalize and publish the ""July Declaration"" within the next 30 working days.",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11862/govt-bans-all-activities-of-al,activity oust swami league AL declare ban follow augustness mass uprising press conference Saturday night law advisor as if natural share information journalist emergency meet advisory council lead chief advisor rd Muhammad sinus statement meet advisory council announce amendment international crime tribunal act approve today session accord amendment international crime tribunal can now punish political party affiliate organization support group statement also mention trial Bangladesh swami league leader conclude international crime tribunal decision make ban activity swami leagueeincluding presence undersecretary anti terrorism act aim protect national security sovereignty ensure safety July movement activist safeguard plaintiff witness international crime tribunal necessary circular regard matter will issue next work day additionally meet also decide finalize publish July declaration within next work day
"Publish : 10 May 2025, 23:16",'18cr people of Bangladesh no longer want AL',"BNP Secretary General Mirza Fakhrul Islam Alamgir on Saturday said the 18 crore people of the country no longer want Awami League. “On one hand, we’re holding a rally here in Chattogram; on the other, another rally is being held at New Market in Dhaka. The demand is the same — Awami League must be banned,” he said at a youth grand rally at the Polo Ground in Chattogram, UNB reports. Jubo Dal, Swechchhasebak Dal and Chhatra Dal organised the rally. Fakhrul said that Awami League had established BAKSAL but BNP founder Ziaur Rahman laid the foundation of multi-party democracy and freedom of press was restored by him. “Ziaur Rahman also laid the foundation of the garments industry… It was Khaleda Zia who introduced the caretaker government system,” he added. The BNP leader warned that some people returning from abroad are attempting to erase this history. “They must not be allowed to distort the truth,” he said. Addressing the youth, he said, “You want jobs, businesses, peaceful educational institutions — none of this is possible without genuine democracy. Today’s call to action is for the youth to rise, resist conspiracies and reclaim your rights.” He said Sheikh Hasina has unleashed repression across the country for the past 15 years. “It’s not one or two people—millions have suffered under this fascist rule. Thousands have lost their lives. Over 60 lakh people have been falsely implicated in cases. Around 20,000 people have been killed and over 1,700 forcibly disappeared,” he added. Fakhrul further said that former prime minister Khaleda Zia was unjustly kept in jail for six years while acting BNP Acting Chairman Tarique Rahman remains unable to return to the country. “Tarique Rahman dreams of building a modern Bangladesh and will never compromise the national interest. He has declared that the final decision will be made on the streets — and that’s becoming a reality,” Fakhrul said. He praised the organisers of the rally, calling it an “unprecedented gathering” made possible by the efforts of Jubo Dal, Swechchhasebak Dal and Chhatra Dal. “We always look at Chattogram with special attention because it was from this city that Ziaur Rahman declared the country’s independence,” Fakhrul added.",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11860/18cr-people-of-bangladesh-no-longer-want-al,bap secretary general mirage faithful Islam alarm Saturday say corer people country long want swami league econ one hand wire hold rally hectogram another rally hold new market Dhaka demand e swami league must ban say youth grand rally polo grind hectogram nub report jumbo lad swechchhasebak lad chatroom lad organize rally faithful say swami league establish basal bap founder saurian Brahman lay foundation multiparty democracy freedom press restore auricle Brahman also lay foundation garment industry ea heal zit introduce caretaker government system ed add bap leader warn people return abroad attempt erase history they must allow distort truther say address youth say you're want job business peaceful educational institution e none possible without genuine democracy today's call action youth rise resist conspiracy reclaim right say sheikh aphasia unleash repression across country past year cite one two implementation suffer fascist rule thousand lose life lake people falsely implicate case around people kill forcibly disappear add faithful say former prime minister heal zit unjustly keep jail six year act bap act chairman briquette Brahman remain unable return country nectarine Brahman dream build modern Bangladesh will never compromise national interest declare final decision will make street e theta become reality ed faithful say praise organizer rally call unprecedented gathering ed make possible effort jumbo lad swechchhasebak lad chatroom lad ewe always look hectogram special attention city saurian Brahman declare country independence ed faithful add
"Publish : 09 May 2025, 20:35",Shahbagh blocked demanding AL ban,"Protesters blocked the Shahbagh intersection around 4:40 pm on Friday, demanding a ban on the Awami League (AL), vowing to continue their sit-in until their demands are met. The announcement was made by Hasnat Abdullah, chief coordinator of the National Citizen Party (NCP) for the southern region, during a rally held in front of the InterContinental Hotel, UNB reports. “Our demand has not reached the ears of the interim government,” Hasnat declared at around 4:30 pm. “So we are leaving the rally venue and heading towards Shahbagh. We will not leave until our demand is fulfilled,” he asserted. Shortly after the declaration, a procession marched from Minto Road and reached Shahbagh at around 4:40 pm, where demonstrators began a sit-in. During the rally, Hasnat accused the Awami League of dismantling democracy. “The Awami League is not a political party by any means. In 1974, it formed ‘BAKSAL’ and replaced democracy with a mafia system,” he said. Hasnat also alleged, “Fifteen lakh people died of starvation due to the Awami League’s looting. The blood of the people is on their hands. With India’s support, they killed patriotic army officers.” The protest began earlier in the day around 2:45 pm with a recitation from the Holy Quran by NCP leader Ashraf Mahadi. To mitigate the heat at the rally site, Dhaka North City Corporation (DNCC) reportedly began spraying water using a water cannon from 3 pm. Several other political groups, including Jamaat-e-Islami, Inquilab Mancha, Islamic Movement, and AB Party, have expressed solidarity with the protest. The movement gained momentum after a group of students led by the NCP gathered in front of the Chief Adviser’s residence, Jamuna, on Thursday night, demanding a ban on the Awami League. The sit-in formally began around 10 pm on Thursday under Hasnat’s leadership.",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11842/protesters-block-shahbagh-demanding-al-ban,protester block shanghai intersection around pm Friday demand ban swami league AL vow continue chitin demand meet announcement make hasn't mullah chief coordinator national citizen party nip southern region rally hold front intercontinental hotel nub report scour demand reach ear interim government ed hasn't declare around smiley pm echo leave rally venue head towards shanghai will leave demand fulfill assert shortly declaration procession march mint road reach shanghai around pm demonstrator begin chitin rally hasn't accuse swami league dismantle democracy hectic swami league political party mean form baseball replace democracy mafia system ed say hasn't also allege fifteen lake people die starvation due swami league loot blood people hand indies support kill patriotic army officers ed protest begin early day around pm recitation holy Duran nip leader ashram maharani mitigate heat rally site Dhaka north city corporation dunce reportedly begin spray water use water cannon pm several political group include jamaateislami palanquin henchman Islamic movement ab party e tongue stick dress solidarity protest movement gain momentum group student lead nip gather front chief adviser residence jejunum Thursday night demand ban swami league chitin formally begin around pm Thursday hastes leadership
"Publish : 09 May 2025, 17:11","Govt considers ban on AL citing dictatorship, terror links","The interim government on Friday said they are considering with due importance the demand raised by various political parties, organisations and the public to ban the Awami League (AL) on charges of dictatorship and terrorist activities. ""The government has already established contact with the political parties in this regard and will discuss it with them and take a decision soon,"" the government said in a statement shared by the Chief Adviser’s press wing, UNB reports. The government, in this regard, is taking into consideration the UN report on the terrorist activities of the leaders and supporters of the Awami League. The government urged all to maintain patient. The government has already banned the terrorist organisation Chhatra League under the existing law, respecting the public demand, said the statement. The government has taken the initiative to bring necessary amendments to the International Criminal Court Act to take action against organisations involved in crimes against humanity. The press wing statement also said the government is aware of the public anger over the foreign travel of former President of the fascist government, Abdul Hamid, a murder case accused. The government is determined to take appropriate legal action against all those involved in this incident, the statement reads.",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11841/govt-considers-ban-on-al-citing-dictatorship,interim government Friday say consider due importance demand raise various political party organization public ban swami league AL charge dictatorship terrorist activity government already establish contact political party regard will discuss take decision soon government say statement share chief adviser press wing nub report government regard take consideration UN report terrorist activity leader supporter swami league government urge maintain patient government already ban terrorist organization chatroom league exist law respect public demand say statement government take initiative bring necessary amendment international criminal court act take action organization involve crime humanity press wing statement also say government aware public anger foreign travel former president fascist government Abdul amid murder case accuse government determine take appropriate legal action involve incident statement read
"Publish : 16 May 2025, 17:37",BNP demands clear roadmap to polls,"Though the BNP has been consistently calling for a national election along with swift reforms, party leaders now fear that their December election deadline may quietly slip away, as the interim government appears to be dragging its feet and showing no sign of preparing for the polls. Some senior BNP leaders said nine months after the interim government's formation, its lack of focus on elections and controversial moves—such as allowing human corridors to Rakhine and outsourcing port operations—have raised doubts about its true intentions, UNB reports. In such a situation, they said the party rank and file is mounting pressure to take to the streets to force the government to announce a clear election roadmap and hold the election within this year. A BNP leader, wishing to remain anonymous, said the party fears that the ban on activities of the Awami League, growing conflicts among the National Citizen Party (NCP) and Jamaat-e-Islami, increasing unnecessary street protests, and a slide in the law and order situation may complicate the political scenario in the country in the days to come. He said they are also concerned about the new political polarisation and its impact on the national election following the ban on the Awami League’s activities until the completion of its trial and that of its leaders. The BNP leader said they suspect that the ban on the Awami League’s activities and the suspension of the party’s registration with the Election Commission may be part of a ploy by local and international actors to prolong the power of the interim government. He said their last standing committee meeting discussed the issues of election and reforms, and most members voiced frustration over the lack of visible progress toward holding the election. The BNP leader said they also discussed the growing pressure from grassroots leaders and activists to launch a movement demanding the government hold the election by December this year. Three BNP Standing Committee members have recently expressed both concern and anger over the delay in the election. On 12 May, senior BNP leader Mirza Abbas alleged that many dubious foreigners are arriving in Bangladesh, accusing the interim government of serving the interests of others rather than the people of the country. He also accused the government of orchestrating various incidents to divert public attention from its misdeeds. Abbas also alleged that a deliberate effort is underway to eliminate their party, claiming that pro-BNP officials are being replaced by those loyal to the Awami League or Jamaat-e-Islami in the administration and other key government offices. A day earlier, BNP Standing Committee member Salahuddin Ahmed said that their party had on various occasions demanded that the Awami League, as a party, be brought under trial, but the government had not paid any heed. “Had the Chief Adviser taken the matter into consideration at that time, it would not have led to the embarrassing situation of the last two days (demonstration at Shahbagh),” he added. Claiming that people across the country are eager to vote in the next parliamentary elections, the BNP leader said, “For that, we have called upon the Chief Adviser to announce a roadmap for the next election soon. Otherwise, such an embarrassing situation may arise again.” On 13 May, BNP Standing Committee Member Amir Khosru Mahmud Chowdhury said their party had already made it clear that they are ready to implement any reform proposals agreed upon through political consensus. “So, why is the delay? Why cannot we know where the consensus stands? We have all submitted our proposals. We are waiting to see where the consensus is. But we still cannot know where it lies. Why the hesitation in stating that?” he said. “You cannot hold the people hostage and then talk about reforms solely to serve the interests of a select few. There is no longer any scope in Bangladesh to impose anything by force while excluding the people. That time is over,” he said. The BNP leader lamented that those who once hid in fear of Sheikh Hasina are now lecturing others on reforms. “Every now and then, new issues are brought forward, reforms are dragged out, and the overall situation is kept in a state of flux. It appears to be part of a larger conspiracy to defer elections indefinitely,” a member of the BNP Standing Committee told UNB on condition of anonymity. He said their party is now holding youth rallies in all divisions to drum up support and encourage the new generation to become involved in BNP politics. “Our youth rally will be held on 28 May with a massive showdown in Dhaka. From that rally, the BNP will send out a strong message to the government not to unnecessarily delay the election,” the BNP leader said. Contacted, BNP Standing Committee Member Gayeshwar Chandra Roy said they are observing a move to delay the election on various pretexts, including the reform process. “Delaying the elections could create further instability and give the Awami League time to reorganise and create chaos in the country. If elections are delayed, the situation may spiral out of control,” he warned. The BNP leader said although the interim government’s role should be to restore the people’s mandate, it seems to lack genuine interest in doing so. He urged the government to come up with a clear electoral roadmap as soon as possible. “The people—especially the youth—want to vote. A fair BNP-Election to be held, and the reforms must be completed quickly.”",politics,https://en.ittefaq.com.bd//en.ittefaq.com.bd/11939/bnp-demands-clear-roadmap-to-polls,though bap consistently call national election along swift reform party leader now fear December election deadline may quietly slip away interim government appear drag foot show sign prepare poll senior bap leader say nine month interim government formation lack focus election controversial nonesuch allow human corridor rapine outsource port nonoperative raise doubt true intention nub report situation say party rank file mount pressure take street force government announce clear election road map hold election within year bap leader wish remain anonymous say party fear ban activity swami league grow conflict among national citizen party nip jamaateislami increase unnecessary street protest slide law order situation may complicate political scenario country day come say also concern new political polarization impact national election follow ban swami league activity completion trial leader bap leader say suspect ban swami league activity suspension party registration election commission may part ploy local international actor prolong power interim government say last stand committee meet discuss issue election reform member voice frustration lack visible progress toward hold election bap leader say also discuss grow pressure grassroots leader activist launch movement demand government hold election December year three bap stand committee member recently e tongue stick dress concern anger delay election may senior bap leader mirage abbey allege many dubious foreigner arrive Bangladesh accuse interim government serve interest other rather people country also accuse government orchestrate various incident divert public attention misdeed abbey also allege deliberate effort underway eliminate party claim probe official replace loyal swami league jamaateislami administration key government office day early bap stand committee member thud Ahmed say party various occasion demand swami league party bring trial government pay heed ache chief adviser take matter consideration time lead embarrass situation last two day demonstration shanghai add claim people across country eager vote next parliamentary election bap leader say force call upon chief adviser announce road map next election soon otherwise embarrass situation may arise gain may bap stand committee member air workhouse maraud chowder say party already make clear ready implement reform proposal agree upon political consensus echo delay know consensus stand submit proposal wait see consensus still know lie hesitation state hate say you're hold people hostage talk reform solely serve interest select long scope Bangladesh impose anything force exclude people time cover say bap leader lament hide fear sheikh aphasia now lecture other reform every now new issue bring forward reform drag overall situation keep state flux appear part large conspiracy defer election indefinitely ed member bap stand committee tell nub condition anonymity say party now hold youth rally division drum support encourage new generation become involve bap politic scour youth rally will hold may massive showdown Dhaka rally bap will send strong message government unnecessarily delay election ed bap leader say contact bap stand committee member freshwater Chandra Roy say observe move delay election various pretext include reform process underplay election create instability give swami league time reorganize create chaos country election delay situation may spiral control warn bap leader say although interim government role restore people mandate seem lack genuine interest urge government come clear electoral road map soon possible hectic overspecialization youthfulness vote fair selection hold reform must complete quickly ed
